,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
358,faya,18.39,42.45,53.6,30,0,5.41,SA,1603854288
359,te anau,-45.42,167.72,61.86,42,97,2.71,NZ,1603854265
360,hailar,49.2,119.7,31.8,80,0,13.15,CN,1603853633
361,coihaique,-45.58,-72.07,39.2,93,90,6.93,CL,1603854477
362,caravelas,-17.71,-39.25,76.71,91,92,9.28,BR,1603854478
363,kharan,28.58,65.42,65.01,22,0,3.36,PK,1603853914
364,atlantic city,39.36,-74.42,60.01,93,90,2.77,US,1603854305
365,egvekinot,66.32,-179.17,17.58,92,45,5.5,RU,1603854479
366,luderitz,-26.65,15.16,55.76,81,0,9.95,NA,1603854269
367,maldonado,-34.67,-54.92,59.0,93,90,18.34,UY,1603854386
368,brownwood,31.71,-98.99,35.6,93,90,11.56,US,1603854471
369,piacabucu,-10.41,-36.43,76.08,87,100,12.15,BR,1603854480
370,barkot,30.82,78.2,63.77,27,0,0.47,IN,1603854480
371,fangshan,39.7,115.99,60.8,19,0,4.47,CN,1603854481
372,husavik,66.04,-17.34,37.4,69,90,5.82,IS,1603854293
373,geraldton,-28.77,114.6,77.0,47,0,16.11,AU,1603854481
374,klyuchi,52.27,79.17,33.03,88,74,13.31,RU,1603854481
375,tezu,27.92,96.17,81.32,43,8,2.57,IN,1603854482
376,cockburn town,21.46,-71.14,82.74,79,28,22.57,TC,1603854482
377,rongcheng,30.63,117.85,72.0,84,97,5.79,CN,1603853893
378,luwuk,-0.95,122.79,87.8,56,84,5.1,ID,1603854483
379,saint-francois,46.42,3.91,53.6,81,75,5.82,FR,1603854483
380,cabedelo,-6.98,-34.83,77.0,88,40,5.82,BR,1603854483
381,saint-joseph,-21.37,55.62,71.6,56,0,8.05,RE,1603854484
382,half moon bay,37.46,-122.43,66.2,34,20,11.41,US,1603854281
